
These predictions were generated by FAST (v6.01, 12-Aug-2005) on 20-Dec-2013 at 13:35:20.
The aerodynamic calculations were made by AeroDyn (12.58, 28-Jun-2005).

 NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

    Time	TTDspFA	TTDspSS	TTDspAx	TipDxb1	TipDyb1	TipDxb2	TipDyb2	TipDxb3	TipDyb3	LSSTipPxa
   (sec)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(m)	(deg)
   0.100	-1.533E-05	-1.301E-04	 0.000E+00	 2.783E-01	 3.217E-03	 7.194E-02	-4.515E-02	 1.444E-01	 1.157E-01	 5.422E+00
   0.200	 1.341E-03	-8.742E-04	 0.000E+00	 9.405E-01	-5.134E-02	 3.211E-01	-2.201E-01	 5.135E-01	 3.552E-01	 1.084E+01
   0.300	 7.213E-03	-2.272E-03	 0.000E+00	 1.834E+00	-1.499E-01	 8.033E-01	-4.322E-01	 1.059E+00	 6.287E-01	 1.629E+01
   0.400	 1.963E-02	-4.074E-03	-7.629E-06	 2.763E+00	-2.893E-01	 1.404E+00	-5.919E-01	 1.664E+00	 7.981E-01	 2.175E+01
   0.500	 3.932E-02	-5.762E-03	-1.526E-05	 3.515E+00	-4.437E-01	 1.908E+00	-6.181E-01	 2.208E+00	 7.846E-01	 2.723E+01
   0.600	 6.660E-02	-6.809E-03	-3.815E-05	 3.977E+00	-5.515E-01	 2.214E+00	-4.531E-01	 2.642E+00	 6.168E-01	 3.277E+01
   0.700	 1.015E-01	-7.327E-03	-8.392E-05	 4.177E+00	-6.199E-01	 2.398E+00	-1.887E-01	 3.017E+00	 3.265E-01	 3.834E+01
   0.800	 1.438E-01	-7.932E-03	-1.602E-04	 4.243E+00	-6.355E-01	 2.545E+00	 7.946E-02	 3.401E+00	 3.430E-02	 4.398E+01
   0.900	 1.922E-01	-9.548E-03	-2.823E-04	 4.273E+00	-6.316E-01	 2.673E+00	 2.340E-01	 3.777E+00	-1.611E-01	 4.967E+01
   1.000	 2.446E-01	-1.291E-02	-4.654E-04	 4.310E+00	-6.454E-01	 2.774E+00	 2.046E-01	 4.104E+00	-2.153E-01	 5.540E+01
